filename,mae_mse,mae_vgg,mae_resnet
AnhHungNguyenTrungTruc_Ep01_2012_01337.jpg,5.510237,7.0874786,5.7989345
AnhHungNguyenTrungTruc_Ep01_2012_01344.jpg,9.648471,10.844973,9.687301
AnhHungNguyenTrungTruc_Ep01_2012_01351.jpg,3.8419363,5.3096766,4.2982903
AnhHungNguyenTrungTruc_Ep01_2012_01354.jpg,3.8827727,5.1740804,4.2420745
AnhHungNguyenTrungTruc_Ep01_2012_01355.jpg,4.076132,5.350865,4.5349107
AnhHungNguyenTrungTruc_Ep01_2012_01357.jpg,3.9574697,5.74802,4.5525417
AnhHungNguyenTrungTruc_Ep01_2012_01363.jpg,3.9780972,5.4505143,4.5218034
AnhHungNguyenTrungTruc_Ep01_2012_01384.jpg,4.9271297,8.559258,6.817449
AnhHungNguyenTrungTruc_Ep01_2012_01385.jpg,4.6381803,5.678784,4.2439613
AnhHungNguyenTrungTruc_Ep01_2012_01395.jpg,3.8662043,6.7003016,4.9780374
AnhHungNguyenTrungTruc_Ep01_2012_01408.jpg,4.266482,6.426957,5.5000663
AnhHungNguyenTrungTruc_Ep01_2012_01442.jpg,3.4097443,6.3994007,5.188636
AnhHungNguyenTrungTruc_Ep01_2012_01443.jpg,4.8504395,6.9370017,5.936065
AnhHungNguyenTrungTruc_Ep01_2012_01444.jpg,4.0366044,6.274547,5.4255686
AnhHungNguyenTrungTruc_Ep01_2012_01451.jpg,2.8329282,3.9768615,3.118536
AnhHungNguyenTrungTruc_Ep01_2012_01457.jpg,2.805312,3.9234295,3.0580091
AnhHungNguyenTrungTruc_Ep01_2012_01460.jpg,2.753521,3.2337506,2.8003294
AnhHungNguyenTrungTruc_Ep01_2012_01488.jpg,3.7364013,5.6253057,4.534432
AnhHungNguyenTrungTruc_Ep01_2012_01495.jpg,3.9339259,4.954593,3.8930366
AnhHungNguyenTrungTruc_Ep01_2012_01503.jpg,3.6402264,5.0978556,4.0876317
AnhHungNguyenTrungTruc_Ep01_2012_01516.jpg,3.9752007,5.5618954,4.9260936
AnhHungNguyenTrungTruc_Ep01_2012_01522.jpg,2.9830797,3.7060614,4.1076145
AnhHungNguyenTrungTruc_Ep01_2012_01535.jpg,3.0612643,5.6564226,3.0838118
AnhHungNguyenTrungTruc_Ep02_2012_00004.jpg,4.4248047,6.324099,4.9616814
AnhHungNguyenTrungTruc_Ep02_2012_00006.jpg,4.856299,6.9806085,5.399806
AnhHungNguyenTrungTruc_Ep02_2012_00010.jpg,4.6382465,5.6023993,5.1406384
AnhHungNguyenTrungTruc_Ep02_2012_00024.jpg,4.3075576,5.3663507,4.588156
AnhHungNguyenTrungTruc_Ep02_2012_00035.jpg,6.529968,11.498551,8.559976
AnhHungNguyenTrungTruc_Ep02_2012_00042.jpg,4.7590346,6.779084,5.4223666
AnhHungNguyenTrungTruc_Ep02_2012_00056.jpg,10.187699,11.102738,9.454308
AnhHungNguyenTrungTruc_Ep02_2012_00058.jpg,4.8875427,5.713442,5.545327
AnhHungNguyenTrungTruc_Ep02_2012_00059.jpg,5.3011465,6.664355,5.361647
AnhHungNguyenTrungTruc_Ep02_2012_00065.jpg,7.230024,8.901938,7.9630103
AnhHungNguyenTrungTruc_Ep02_2012_00072.jpg,3.0901096,3.9388485,3.5277026
AnhHungNguyenTrungTruc_Ep02_2012_00076.jpg,8.576856,9.506384,8.159612
AnhHungNguyenTrungTruc_Ep02_2012_00096.jpg,4.979791,6.9134183,5.4541545
AnhHungNguyenTrungTruc_Ep02_2012_00100.jpg,7.186145,7.3887515,6.6406517
AnhHungNguyenTrungTruc_Ep02_2012_00108.jpg,5.331812,6.1625876,4.7319965
AnhHungNguyenTrungTruc_Ep02_2012_00120.jpg,8.237444,10.055285,8.906363
AnhHungNguyenTrungTruc_Ep02_2012_00124.jpg,8.353476,9.754896,8.158216
AnhHungNguyenTrungTruc_Ep02_2012_00144.jpg,4.2717767,3.9241405,4.2085395
AnhHungNguyenTrungTruc_Ep02_2012_00156.jpg,5.256763,4.426758,4.6793156
AnhHungNguyenTrungTruc_Ep02_2012_00168.jpg,5.019983,6.053917,4.7819743
